1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
entry,InventoryType,class,subclass,name,ilvl,reqlvl,Quality,Web,Class,PROT1,ARMS1,FURY1,ROGUE1,HOLY1,SHAD1,BM1,SV1,TREE1,OWL1,CAT1,BEAR1,ARC1,FIRE1,AFFL1,DEST1,TANK1,RET1,HEAL,ELE1,ENH1,RES1,STA,INT,AGI,STR,SPI,AP,ARP,SP,HEA,CRIT,SCRI,HAST,SHAS,HIT,SHIT,EXP,MP5,RES,DOD,PAR,DEF,SBLOCK,BRATING,SOC1,SOC2,SOC3,ARMOR,DPS,dmg_min,dmg_max,delay,Location,A,Phase,KEEPTHIS,ROG2,PROT2,ARMS2,FURY2,ROGUE2,HOLY2,SHAD2,BM2,SV2,TREE2,OWL2,CAT2,BEAR2,ARC2,FIRE2,AFFL2,DEST2,TANK2,RET2,HEAL,ELE2,ENH2,RES2
21331,Chest,Armor,Plate,Conqueror's Breastplate,88,60,Epic,https://tbc.wowhead.com/item=21331,Warrior,120.348,50.248,50.4,90.44,7.6,0,49.2,125.04,0,0,161.044,845.443,0,0,0.722,2.546,100.816,39.1006,0,0,109.504,0,38,NULL,24,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,6,NULL,NULL,NA,NA,NA,1124,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21334,Chest,Armor,Cloth,Doomcaller's Robes,88,60,Epic,https://tbc.wowhead.com/item=21334,Warlock,29.714,0,0,0,56.791,45.337,0,0,7.2,58.24,0,143.002,40.244,71.864,51.63,68.766,58.65,4.8872,15.92,56.85,24.272,17.4,23,17,NULL,NULL,7,NULL,NULL,41,NULL,NULL,14,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,151,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21343,Chest,Armor,Cloth,Enigma Robes,88,60,Epic,https://tbc.wowhead.com/item=21343,Mage,25.714,0,0,0,65.159,43.709,0,0,9,58.52,0,131.2704,42.766,72.624,51.404,68.996,54.25,4.6488,18.92,56.59,23.914,20.28,19,23,NULL,NULL,7,NULL,NULL,39,NULL,NULL,14,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,151,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21351,Chest,Armor,Cloth,Vestments of the Oracle,88,60,Epic,https://tbc.wowhead.com/item=21351,Priest,31.914,0,0,0,85.079,41.775,0,0,12.3,59.38,0,168.017,44.937,70.584,49.569,67.149,58.55,4.2912,20.42,54.46,23.215,21.72,23,26,NULL,NULL,15,NULL,NULL,36,NULL,NULL,14,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,201,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21357,Chest,Armor,Leather,Genesis Vest,88,60,Epic,https://tbc.wowhead.com/item=21357,Druid,50.457,21.124,21.36,40.82,74.955,33.211,24.6,62.52,10.5,49.26,71.458,289.5591,38.257,59.844,41.682,56.806,61.962,19.9331,19.42,45.88,65.061,20.76,24,24,12,13,11,NULL,NULL,28,NULL,NULL,14,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,289,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21364,Chest,Armor,Leather,Deathdealer's Vest,88,60,Epic,https://tbc.wowhead.com/item=21364,Rogue,88.804,63.729,66.3,151.71,5.6,0,112.55,230.87,0,0,237.734,465.1815,0,0,0.532,1.876,54.306,46.9924,0,0,132.988,0,28,NULL,37,19,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,10,NULL,NA,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,289,NA,NA,NA,NA,Classic,NA,0,NA,NA,-3.632,53.219,59.9,127.31,5.6,0,97.55,215.87,0,0,222.734,435.4295,0,0,0.532,1.876,53.306,43.9924,0,0,116.148,0
21370,Chest,Armor,Mail,Striker's Hauberk,88,60,Epic,https://tbc.wowhead.com/item=21370,Hunter,85.936,54.116,56.66,134.1,40.839,10.7,127,210.56,6.6,17.08,176.18,568.2479,15.874,18.84,12.971,19.535,75.77,40.4958,7.5,13.35,116.4,7.2,26,15,26,NULL,7,52,NULL,9,NULL,14,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,631,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21374,Chest,Armor,Mail,Stormcaller's Hauberk,88,60,Epic,https://tbc.wowhead.com/item=21374,Shaman,70.121,30.65,32.24,58.84,61.459,34.698,42.2,75.2,10.5,44.86,93.106,475.1417,35.151,51.44,36.576,50.88,83.314,26.1643,12,38.96,77.195,11.52,24,24,10,11,11,NULL,NULL,32,NULL,14,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,631,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21389,Chest,Armor,Plate,Avenger's Breastplate,88,60,Epic,https://tbc.wowhead.com/item=21389,Paladin,92.627,31.124,30.96,51.82,74.955,23.211,24.6,62.52,10.5,39.26,94.118,729.9696,32.687,47.744,32.502,44.986,96.952,26.1281,19.42,35.88,82.421,20.76,24,24,12,23,11,NULL,NULL,18,NULL,NULL,14,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,1124,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21848,Chest,Armor,Cloth,Spellfire Robe (Fire/Arcane),105,70,Epic,https://tbc.wowhead.com/item=21848,"Mage, Warlock, Druid",31.972,20,20.4,48.8,84.346,102.08,29.1,28.75,49.1,119.26,70,161.8977,74.442,151.658,112.203,143.497,82.6,23.3564,67.34,113.45,67.335,54.26,NULL,17,NULL,NULL,NULL,NULL,NULL,72,NULL,NULL,28,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NULL,NULL,Yellow,Blue,NA,178,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21861,Chest,Armor,Cloth,Imbued Netherweave Robe,114,70,Rare,https://tbc.wowhead.com/item=21861,NA,48.82,0,0,0,79.861,34.736,0,0,13.9,50.02,0,200.7283,36.933,54.77,41.886,58.916,71.45,3.9336,22.25,42.55,17.972,29.94,42,28,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,11,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,155,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21862,Chest,Armor,Cloth,Imbued Netherweave Tunic,114,70,Rare,https://tbc.wowhead.com/item=21862,NA,34.82,0,0,0,34.277,50,0,0,5.5,56.38,0,159.6677,29.434,60.5,49.358,64.716,67.95,5.96,8.25,51.43,23.2,16.5,28,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,11,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,155,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21865,Chest,Armor,Cloth,Soulcloth Vest,100,70,Epic,https://tbc.wowhead.com/item=21865,NA,67.48,30,30.6,73.2,112.08,39,44.15,62.6,76.8,49.04,105,261.3064,36.22,54.16,42.608,54.916,64.5,22.161,76,32.48,46.076,59.22,24,20,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NULL,NULL,Yellow,Red,Blue,170,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21868,Chest,Armor,Cloth,Arcanoweave Robe,115,70,Rare,https://tbc.wowhead.com/item=21868,NA,51.864,0,0,0,32.463,0,0,0,4.5,5.22,0,210.0273,1.296,0,3.249,6.075,48.3,0,6.75,1.17,0,13.5,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,9,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,156,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21871,Chest,Armor,Cloth,Frozen Shadoweave Robe (Shadow/Frost),105,70,Epic,https://tbc.wowhead.com/item=21871,"Priest, Mage, Warlock",61.832,20,20.4,48.8,67.938,97.24,29.1,28.75,50,103.6,70,249.8847,65.592,126.76,96.06,125.63,109.9,23.3564,54,92.48,61.068,37.22,30,20,NULL,NULL,NULL,NULL,NULL,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NULL,NULL,Yellow,Blue,NA,178,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21875,Chest,Armor,Cloth,Primal Mooncloth Robe,120,70,Epic,https://tbc.wowhead.com/item=21875,NA,32.888,20,20.4,48.8,245.348,27.44,29.1,28.75,182,44.2,70,173.9049,31.988,39.64,32.054,41.916,33.7,14.774,182.5,21.78,28.68,173.22,NULL,20,NULL,NULL,20,NULL,NULL,NULL,121,NULL,NULL,NULL,NULL,NULL,NULL,NA,10,NA,NULL,NULL,NULL,NULL,NULL,Yellow,Blue,NA,202,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22416,Chest,Armor,Plate,Dreadnaught Breastplate,92,60,Epic,https://tbc.wowhead.com/item=22416,Warrior,132.775,34.6,32.96,71.9,8.6,0,30,30,0,0,111.586,847.7271,0,0,0.817,2.881,115.004,21.5127,0,0,79.88,0,43,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NA,NULL,NA,12,NULL,20,NULL,NULL,NA,NA,NA,1172,NA,NA,NA,NA,Classic,NA,0,NA,NA,3.348,13.58,20.16,23.1,8.6,0,0,0,0,0,81.586,788.2231,0,0,0.817,2.881,113.004,15.5127,0,0,46.2,0
22425,Chest,Armor,Plate,Redemption Tunic,92,60,Epic,https://tbc.wowhead.com/item=22425,Paladin,76.638,0,0,0,150.934,4.435,0,0,73.3,25.98,0,659.6741,25.56,29.674,20.624,30.516,84.2,0,89.42,21.21,6.221,98.12,25,31,NULL,NULL,NULL,NULL,NULL,NULL,59,NULL,14,NULL,NULL,NULL,NULL,NA,10,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,1172,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22436,Chest,Armor,Mail,Cryptstalker Tunic,92,60,Epic,https://tbc.wowhead.com/item=22436,Hunter,102.526,67.26,69.58,175.34,38.748,0.93,158.2,254.4,6.5,8.02,230.18,637.4825,9.666,7.95,5.792,10.324,74.4,47.1962,10.5,4.87,142.491,13.2,27,15,30,NULL,NULL,60,NULL,NULL,NULL,14,NULL,NULL,NULL,10,NULL,NA,4,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,658,NA,NA,NA,NA,Classic,NA,0,NA,NA,8.246,56.75,63.18,150.94,38.748,0.93,143.2,239.4,6.5,8.02,215.18,607.7305,9.666,7.95,5.792,10.324,73.4,44.1962,10.5,4.87,125.651,13.2
22464,Chest,Armor,Mail,Earthshatter Tunic,92,60,Epic,https://tbc.wowhead.com/item=22464,Shaman,54.952,0,0,0,144.38,1.984,0,0,74.6,19.12,0,405.4528,21.12,16.96,12.678,21.086,59.5,0,84,10.84,3.04,92.36,26,32,NULL,NULL,NULL,NULL,NULL,NULL,59,NULL,NULL,NULL,NULL,NULL,NULL,NA,12,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,658,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22476,Chest,Armor,Leather,Bonescythe Breastplate,92,60,Epic,https://tbc.wowhead.com/item=22476,Rogue,72.784,62.12,64.16,129.28,5.8,0,123.4,126.2,0,0,146.36,367.7094,0,0,0.551,1.943,50.05,41.2184,0,0,121.692,0,29,NULL,NULL,NULL,NULL,80,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,299,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22488,Chest,Armor,Leather,Dreamwalker Tunic,92,60,Epic,https://tbc.wowhead.com/item=22488,Druid,42.156,0,0,0,171.491,3.888,0,0,84.4,22.12,0,234.6438,23.533,15.37,10.828,18.496,43.95,0,86.5,9.45,3.724,91.92,29,29,NULL,NULL,19,NULL,NULL,NULL,66,NULL,NULL,NULL,NULL,NULL,NULL,NA,8,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,299,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22496,Chest,Armor,Cloth,Frostfire Robe,92,60,Epic,https://tbc.wowhead.com/item=22496,Mage,28.136,0,0,0,45.456,54.8276,0,0,8.1,66.86,0,140.6383,44.493,83.18,62.732,82.16,62.4,5.6024,13.5,57.55,31.997,12.96,21,27,NULL,NULL,NULL,NULL,NULL,47,NULL,NULL,NULL,NULL,NULL,NULL,8,NA,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,158,NA,NA,NA,NA,Classic,NA,0,NA,NA,43.967,-0.184,0,0,45.456,48.674,0,0,8.1,57.26,0,140.6383,42.541,71.18,51.132,69.84,62.4,5.6024,13.5,54.83,24.373,12.96
22504,Chest,Armor,Cloth,Plagueheart Robe,92,60,Epic,https://tbc.wowhead.com/item=22504,Warlock,34.136,0,0,0,39.016,58.5176,0,0,6.6,68.96,0,158.2357,43.691,85.37,65.113,84.905,70.1,6.0792,11,60.1,33.378,10.56,27,22,NULL,NULL,NULL,NULL,NULL,51,NULL,NULL,NULL,NULL,NULL,NULL,8,NA,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,158,NA,NA,NA,NA,Classic,NA,0,NA,NA,3.344,-0.184,0,0,39.016,52.364,0,0,6.6,59.36,0,158.2357,41.739,73.37,53.513,72.585,70.1,6.0792,11,57.38,25.754,10.56
