1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
entry,InventoryType,class,subclass,name,ilvl,reqlvl,Quality,Web,Class,PROT1,ARMS1,FURY1,ROGUE1,HOLY1,SHAD1,BM1,SV1,TREE1,OWL1,CAT1,BEAR1,ARC1,FIRE1,AFFL1,DEST1,TANK1,RET1,HEAL,ELE1,ENH1,RES1,STA,INT,AGI,STR,SPI,AP,ARP,SP,HEA,CRIT,SCRI,HAST,SHAS,HIT,SHIT,EXP,MP5,RES,DOD,PAR,DEF,SBLOCK,BRATING,SOC1,SOC2,SOC3,ARMOR,DPS,dmg_min,dmg_max,delay,Location,A,Phase,KEEPTHIS,ROG2,PROT2,ARMS2,FURY2,ROGUE2,HOLY2,SHAD2,BM2,SV2,TREE2,OWL2,CAT2,BEAR2,ARC2,FIRE2,AFFL2,DEST2,TANK2,RET2,HEAL,ELE2,ENH2,RES2
19366,Held In Off-Hand,Weapon,Off-hand Frills,Master Dragonslayer's Orb,83,60,Epic,https://tbc.wowhead.com/item=19366,NA,10,0,0,0,23.392,28.868,0,0,4.2,33.32,0,29.329,24.08,41.3,29.828,40.444,30,3.3376,7,32.06,14.322,6.72,10,14,NULL,NULL,NULL,NA,NA,28,NULL,NA,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Classic,NA,0,NA,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21597,Held In Off-Hand,Weapon,Off-hand Frills,Royal Scepter of Vek'lor,81,60,Epic,https://tbc.wowhead.com/item=21597,NA,10.254,0,0,0,29.248,9.2246,0,0,2.7,21.42,0,29.329,12.74,30.014,23.097,27.937,9.9,0,11.92,16.25,11.755,13.56,10,9,NULL,NULL,NULL,NA,NA,NULL,NULL,NA,14,NA,NULL,NULL,8,NA,NULL,NA,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Classic,NA,0,NA,0,10.254,-0.184,0,0,29.248,3.071,0,0,2.7,11.82,0,29.329,10.788,18.014,11.497,15.617,9.9,0,11.92,13.53,4.131,13.56
21610,Held In Off-Hand,Weapon,Shield,Wormscale Blocker,81,60,Epic,https://tbc.wowhead.com/item=21610,NA,213.647,0,0,0,72.506,0.806,0,0,41.9,8.42,0,346.610163636364,8.742,6.89,5.439,8.911,207.2,0,46,4.55,1.235,50.24,10,13,NULL,NULL,NULL,NA,NA,NULL,35,NA,NULL,NA,NULL,NULL,NULL,NA,6,NA,NULL,NA,NULL,75,NULL,NA,NA,NA,3488,NA,NA,NA,NA,Classic,NA,0,NA,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22818,Held In Off-Hand,Weapon,Shield,The Plague Bearer,83,60,Epic,https://tbc.wowhead.com/item=22818,NA,230.262,0,0,0,4.2,0,0,0,0,0,0,386.331081818182,0,0,0.399,1.407,220.8,0,0,0,0,0,21,NULL,NULL,NULL,NULL,NA,NA,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NULL,78,NULL,NA,NA,NA,3570,NA,NA,NA,NA,Classic,NA,0,NA,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22819,Held In Off-Hand,Weapon,Shield,Shield of Condemnation,92,60,Epic,https://tbc.wowhead.com/item=22819,NA,243.394,0,0,0,91.922,0.62,0,0,65,7.28,0,387.361872727273,6.924,5.3,4.596,7.48,233.8,0,68.5,3.68,0.95,72.8,10,10,NULL,NULL,NULL,NA,NA,NULL,59,NA,NULL,NA,NULL,NULL,NULL,NA,6,NA,NULL,NA,NULL,90,NULL,NA,NA,NA,3936,NA,NA,NA,NA,Naxxramas,Kel'Thuzad,1,NA,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22937,Held In Off-Hand,Weapon,Off-hand Frills,Gem of Nerubis,83,60,Epic,https://tbc.wowhead.com/item=22937,NA,14,0,0,0,18.08,25.62,0,0,3,28.8,0,41.0606,19.985,35.55,26.026,35.258,31.1,2.98,5,27.9,12.55,4.8,14,10,NULL,NULL,NULL,NA,NA,25,NULL,NA,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,Anub'Rekhan,1,NA,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22994,Held In Off-Hand,Weapon,Off-hand Frills,Digested Hand of Power,83,60,Epic,https://tbc.wowhead.com/item=22994,NA,10,0,0,0,49.462,0.868,0,0,9.2,11.12,0,29.329,9.924,7.42,6.784,10.748,10.4,0,14.5,5.36,1.33,21.72,10,14,NULL,NULL,NULL,NA,NA,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NA,10,NA,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,Gluth,1,NA,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23029,Held In Off-Hand,Weapon,Off-hand Frills,Noth's Frigid Heart,83,60,Epic,https://tbc.wowhead.com/item=23029,NA,0,0,0,0,94.957,2.174,0,0,60.5,8.98,0,0,10.561,6.36,3.372,5.724,1.2,0,59,3.48,1.803,58.76,NULL,12,NULL,NULL,13,NA,NA,NULL,53,NA,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NULL,NULL,NULL,NA,NA,NA,NULL,NA,NA,NA,NA,Naxxramas,Noth the Plaguebringer,1,NA,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23043,Held In Off-Hand,Weapon,Shield,The Face of Death,90,60,Epic,https://tbc.wowhead.com/item=23043,NA,269.06,0,0,0,4.2,0,0,0,0,0,0,424.899663636364,0,0,0.399,1.407,258.56,0,0,0,0,0,21,NULL,NULL,NULL,NULL,NA,NA,NULL,NULL,NA,NULL,NA,NULL,NULL,NULL,NA,NULL,NA,NULL,NA,NULL,108,12,NA,NA,NA,3994,NA,NA,NA,NA,Naxxramas,Sapphiron,1,NA,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
