1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
entry,InventoryType,class,subclass,name,ilvl,reqlvl,Quality,Web,Class,PROT1,ARMS1,FURY1,ROGUE1,HOLY1,SHAD1,BM1,SV1,TREE1,OWL1,CAT1,BEAR1,ARC1,FIRE1,AFFL1,DEST1,TANK1,RET1,HEAL,ELE1,ENH1,RES1,STA,INT,AGI,STR,SPI,AP,ARP,SP,HEA,CRIT,SCRI,HAST,SHAS,HIT,SHIT,EXP,MP5,RES,DOD,PAR,DEF,SBLOCK,BRATING,SOC1,SOC2,SOC3,ARMOR,DPS,dmg_min,dmg_max,delay,Location,A,Phase,KEEPTHIS,ROG2,PROT2,ARMS2,FURY2,ROGUE2,HOLY2,SHAD2,BM2,SV2,TREE2,OWL2,CAT2,BEAR2,ARC2,FIRE2,AFFL2,DEST2,TANK2,RET2,HEAL,ELE2,ENH2,RES2
21367,Shoulder,Armor,Mail,Striker's Pauldrons,81,60,Epic,https://tbc.wowhead.com/item=21367,Hunter,87.334,27.639,22.51,73.42,30.693,7.232,70.9,127.78,4.8,11.88,90.52,391.2082,11.273,13.09,9.055,13.947,56.24,21.584,5.5,8.09,64.112,5.28,24,11,18,NULL,5,34,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,438,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21864,Shoulder,Armor,Cloth,Soulcloth Shoulders,100,70,Epic,https://tbc.wowhead.com/item=21864,NA,112.191,16,15.8,38.72,80.289,20.14,29.1,50.77,43.8,27.44,50.24,208.5511,21.899,29.73,25.565,33.305,51.05,14.88,43.5,21.29,34.346,38.82,30,15,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,Yellow,Red,NA,127,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21869,Shoulder,Armor,Cloth,Frozen Shadoweave Shoulders (Shadow/Frost),105,70,Epic,https://tbc.wowhead.com/item=21869,"Priest, Mage, Warlock",94.389,16,15.8,38.72,58.498,68.93,29.1,28.75,40.5,73.7,50.24,190.2687,46.966,90.23,69.166,90.37,78.25,18.12,43.5,67.29,50.385,34.82,21,15,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,Yellow,Blue,NA,133,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21874,Shoulder,Armor,Cloth,Primal Mooncloth Shoulders,105,70,Epic,https://tbc.wowhead.com/item=21874,NA,4.389,0,0,0,161.952,2.642,0,0,104.8,15.24,0,66.5399,14.499,8.48,6.358,10.012,8.25,0,105.25,3.04,2.285,110.18,NULL,16,NULL,NULL,15,NULL,NULL,NULL,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,133,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22419,Shoulder,Armor,Plate,Dreadnaught Pauldrons,86,60,Epic,https://tbc.wowhead.com/item=22419,Warrior,121.149,22.8,17.98,41.8,5.8,0,15,15,0,0,66.356,573.2606,0,0,0.551,1.943,80.234,26.8802,0,0,52.04,0,29,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NA,NULL,NULL,13,21,NULL,NA,NA,NA,825,NA,NA,NA,NA,Classic,NA,0,NA,NA,114.349,9.54,12.48,17.6,5.8,0,0,0,0,0,51.356,543.5086,0,0,0.551,1.943,79.234,11.8192,0,0,35.2,0
22429,Shoulder,Armor,Plate,Redemption Spaulders,86,60,Epic,https://tbc.wowhead.com/item=22429,Paladin,71.225,0,0,0,98.884,3.753,0,0,48,18.32,0,477.2713,18.03,23.844,15.88,23.028,63.05,0,60.42,13.46,5.176,64.84,22,20,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,14,NULL,NULL,NULL,NULL,NULL,4,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,825,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22439,Shoulder,Armor,Mail,Cryptstalker Spaulders,86,60,Epic,https://tbc.wowhead.com/item=22439,Hunter,95.49,43.691,36.15,105.88,19.88,0.62,100.7,165.3,3,3.8,128.8,439.3367,6.06,5.3,3.247,6.311,55.28,31.6526,5,1.9,88.716,4.8,23,10,20,NULL,NULL,38,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,464,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22467,Shoulder,Armor,Mail,Earthshatter Spaulders,86,60,Epic,https://tbc.wowhead.com/item=22467,Shaman,63.312,0,0,0,91.474,1.178,0,0,50.7,10.7,0,302.5288,12.378,10.07,7.391,12.711,46.7,0,56,3.61,1.805,60.12,24,19,NULL,NULL,NULL,NULL,NULL,NULL,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,464,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22479,Shoulder,Armor,Leather,Bonescythe Pauldrons,86,60,Epic,https://tbc.wowhead.com/item=22479,Rogue,90.442,56.574,46.48,120.66,3,0,81.8,152.72,0,0,177.032,338.9227,0,0,0.285,1.005,34.328,52.529,0,0,117.898,0,15,NULL,22,22,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,10,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,212,NA,NA,NA,NA,Classic,NA,0,NA,NA,83.642,43.314,40.98,96.46,3,0,66.8,137.72,0,0,162.032,309.1707,0,0,0.285,1.005,33.328,37.468,0,0,101.058,0
