"About this workbook:
This is a more up to date version of some of the other item EP value BiS lists.  Just like the others, it uses a static EP value to determine the value of an item. Please view the EPV sheet for current values and credit from where I gathered information for each.
Set bonuses are not included in any item value.  It's up to you to factor them in.

Updated: 12/06/21 -
• Corrected stats on Ret Pal T5 chest (thank you Kylla!)
• Phase 3 and 4 sheets added!  I probably mislabeled or am missing something.  Please let me know!  Fazers#1963 on discord.  Thanks.",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phase specific sheets:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBC Phase 1 PVE EPV BIS LIST - Per Class,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBC Phase 2 PVE EPV BIS LIST - Per Class,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBC Phase 3 PVE EPV BIS LIST - Per Class (WIP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBC Phase 4 PVE EPV BIS LIST - Per Class (WIP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBC Phase 5 PVE EPV BIS LIST - Per Class,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISCLAIMER:  PLEASE REMEMBER EP VALUES AND STAT WEIGHTS FLUCTUATE DEPENDING ON THE GEAR YOU HAVE. While the weights do not usually fluctuate too much, please use more as a general guide and not gospel. If you would like more information please read the article below. 

Contact Fazers#1963 on Discord for changes (additional items, ep value modification, etc).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://medium.com/raidbots/beware-of-stat-weights-240769a5323e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donations greatly appreciated. Thank you for your support! https://ko-fi.com/fazers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
