1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
entry,InventoryType,class,subclass,name,ilvl,reqlvl,Quality,Web,Class,PROT1,ARMS1,FURY1,ROGUE1,HOLY1,SHAD1,BM1,SV1,TREE1,OWL1,CAT1,BEAR1,ARC1,FIRE1,AFFL1,DEST1,TANK1,RET1,HEAL,ELE1,ENH1,RES1,STA,INT,AGI,STR,SPI,AP,ARP,SP,HEA,CRIT,SCRI,HAST,SHAS,HIT,SHIT,EXP,MP5,RES,DOD,PAR,DEF,SBLOCK,BRATING,SOC1,SOC2,SOC3,ARMOR,DPS,dmg_min,dmg_max,delay,Location,A,Phase,KEEPTHIS,ROG2,PROT2,ARMS2,FURY2,ROGUE2,HOLY2,SHAD2,BM2,SV2,TREE2,OWL2,CAT2,BEAR2,ARC2,FIRE2,AFFL2,DEST2,TANK2,RET2,HEAL,ELE2,ENH2,RES2
21587,Bracers,Armor,Plate,Wristguards of Castigation,88,60,Epic,https://tbc.wowhead.com/item=21587,NA,38.308,8,7.68,8.8,73.292,0.806,0,0,45.9,7.26,18.128,277.7508,8.454,6.89,5.002,8.566,36.542,5.9096,49.5,4.29,18.835,52.76,15,13,NULL,8,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,431,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21588,Bracers,Armor,Mail,Wristguards of Elemental Fury,88,60,Epic,https://tbc.wowhead.com/item=21588,NA,21.648,0,0,0,37.706,25.806,0,0,6.9,33.42,0,153.3345,22.667,37.14,28.408,38.528,40.8,2.98,11,29.55,12.835,15.76,11,13,NULL,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,242,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21602,Bracers,Armor,Leather,Qiraji Execution Bracers,81,60,Epic,https://tbc.wowhead.com/item=21602,NA,46.663,32.632,32.64,76.26,2.8,0,47.8,98.36,0,0,121.99,224.0044,0,0,0.266,0.938,24.66,23.4037,0,0,72.976,0,14,NULL,16,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,118,NA,NA,NA,NA,Classic,NA,0,NA,NA,39.863,22.122,26.24,51.86,2.8,0,32.8,83.36,0,0,106.99,194.2524,0,0,0.266,0.938,23.66,20.4037,0,0,56.136,0
21604,Bracers,Armor,Cloth,Bracelets of Royal Redemption,81,60,Epic,https://tbc.wowhead.com/item=21604,NA,10.684,0,0,0,86.233,1.61,0,0,58.7,6.86,0,53.9815,8.337,5.3,2.962,5.306,11.25,0,58,2.9,1.409,58.2,8,10,NULL,NULL,9,NULL,NULL,NULL,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,61,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21611,Bracers,Armor,Cloth,Burrower Bracers,81,60,Epic,https://tbc.wowhead.com/item=21611,NA,12.684,0,0,0,21.864,28.806,0,0,3.9,32.94,0,59.8473,23.474,40.77,29.547,39.967,32.95,3.3376,6.5,31.77,14.227,6.76,10,13,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,61,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21866,Bracers,Armor,Cloth,Arcanoweave Bracers,112,69,Rare,https://tbc.wowhead.com/item=21866,NA,33.948,0,0,0,6.2,0,0,0,0,0,0,124.44,0,0,0.589,2.077,31.25,0,0,0,0,0,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,67,NA,NA,NA,NA,Tailoring,Crafted,1,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22423,Bracers,Armor,Plate,Dreadnaught Bracers,88,60,Epic,https://tbc.wowhead.com/item=22423,Warrior,58.657,14,13.44,15.4,5.6,0,0,0,0,0,31.724,365.0818,0,0,0.532,1.876,52.936,10.3418,0,0,30.8,0,28,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,NULL,7,NULL,NULL,NA,NA,NA,492,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22424,Bracers,Armor,Plate,Redemption Wristguards,88,60,Epic,https://tbc.wowhead.com/item=22424,Paladin,43.648,0,0,0,68.748,0.93,0,0,37.5,8.02,0,310.6714,9.666,7.95,5.697,9.989,45.9,0,41.5,4.87,1.425,44.8,22,15,NULL,NULL,NULL,NULL,NULL,NULL,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,492,NA,NA,NA,NA,Classic,NA,0,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22443,Bracers,Armor,Mail,Cryptstalker Wristguards,88,60,Epic,https://tbc.wowhead.com/item=22443,Hunter,55.746,34.439,34.85,98.18,3.2,0,85.9,142.78,0,0,129,316.4484,0,0,0.304,1.072,36.64,23.8688,0,0,76.868,0,16,NULL,18,NULL,NULL,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,276,NA,NA,NA,NA,Classic,NA,0,NA,NA,48.946,23.929,28.45,73.78,3.2,0,70.9,127.78,0,0,114,286.6964,0,0,0.304,1.072,35.64,20.8688,0,0,60.028,0
